,week_T-0,FERARI__T-0,VPD__T-0,TSS__T-0,Cracking index__T-0,Acceptance_Score__T-0,Shattering(%)__T-0,FER_RG__T-0,weight__T-0,Rachis_Score__T-0,Firmness__T-0,berry weight__T-0
157,6,0.4187,0.12,16.6,1,5.0,0,3.657,633.24,0.0,2.886429315003408,8.3
158,6,0.4846,0.12,15.1,1,5.0,0,3.818,678.77,0.0,3.5201724180268195,7.55
159,6,0.4465,0.12,17.8,1,5.0,0,3.185,624.53,0.0,2.5143252826790006,8.9
160,6,0.4248,0.12,16.4,1,5.0,0,3.195,699.54,0.0,1.808757677846653,8.2
161,6,0.399,0.12,17.2,1,5.0,0,3.409,670.93,0.0,3.3305214584802796,8.6
162,6,0.3611,0.12,17.6,1,5.0,0,3.413,613.92,0.0,2.991020978500116,8.8
163,6,0.3709,0.12,16.7,1,5.0,0,2.429,724.54,0.0,3.1967777527451733,8.35
164,6,0.3549,0.12,16.4,1,5.0,0,2.987,607.6,0.0,3.2348053707833393,8.2
165,6,0.3774,0.12,17.4,1,5.0,0,2.795,674.71,0.0,2.194078017480484,8.7
166,6,0.3566,0.12,17.8,1,5.0,0,3.245,704.25,0.0,1.7938128424445854,8.9
167,6,0.4348,0.12,16.0,1,5.0,0,3.867,687.62,0.0,2.7692998145823027,8.0
168,9,0.3864,0.11,17.6,1,5.0,0,2.922,659.42,0.0,2.119969455288167,8.8
169,9,0.3298,0.11,19.6,1,5.0,0,3.634,654.11,0.0,2.098324031574027,9.8
170,9,0.5757,0.11,16.4,1,5.0,0,4.754,697.91,0.0,3.2742611042777274,8.2
171,9,0.4778,0.11,17.0,1,5.0,0,3.472,677.77,0.0,1.9934171658957187,8.5
172,9,0.4289,0.11,15.7,1,5.0,0,2.838,715.23,0.0,3.061018971479606,7.85
173,9,0.4431,0.11,16.2,1,5.0,0,3.551,684.59,0.0,2.8532933390327666,8.1
174,9,0.4149,0.11,16.8,1,5.0,0,3.661,565.62,0.0,3.2111051246360724,8.4
175,9,0.4631,0.11,17.8,1,5.0,0,3.845,658.57,0.0,2.368771200772926,8.9
176,9,0.2235,0.11,17.5,1,5.0,0,2.898,727.91,0.0,2.303580734322763,8.75
177,9,0.2161,0.11,17.3,1,5.0,0,1.844,705.04,0.0,2.4015605467784646,8.65
178,9,0.5128,0.11,17.5,1,5.0,0,4.689,687.05,0.0,2.6650538567041235,8.75
